Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.918701648712158203e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.982528209686279297e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.973892688751220703e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.965176582336425781e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.835000000000000142e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.956088066101074219e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.947196722030639648e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.938851833343505859e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.929470539093017578e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.835000000000000142e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.920925140380859375e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.832000000000000028e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.912007093429565430e+00,5.000000000000000000e+01,0.000000000000000000e+00,1.837999999999999901e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.090288043022155762e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.844999999999999929e+01,1.803000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.189298295974731445e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.851000000000000156e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.288455963134765625e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.857999999999999829e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.387586641311645508e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.851000000000000156e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.486719274520874023e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.864000000000000057e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.585788774490356445e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.864000000000000057e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.684862685203552246e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.864000000000000057e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.783993554115295410e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.867000000000000171e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.883134460449218750e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.873999999999999844e+01,1.803000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.982209563255310059e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.896000000000000085e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.081351995468139648e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.896000000000000085e+01,1.800000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.180433249473571777e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.896000000000000085e+01,1.805999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.279585361480712891e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.908999999999999986e+01,1.803000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.378720474243164062e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.928999999999999915e+01,1.803000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.477868413925170898e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.928999999999999915e+01,1.805999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.576989746093750000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.957999999999999829e+01,1.812999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.676097583770751953e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.960999999999999943e+01,1.821999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.775194501876831055e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.976999999999999957e+01,1.821999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.874286866188049316e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.992999999999999972e+01,1.826000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.973447179794311523e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.005999999999999872e+01,1.816000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.072535157203674316e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.025000000000000000e+01,1.816000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.171609258651733398e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.044999999999999929e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.270669841766357422e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.057999999999999829e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.369772362709045410e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.087000000000000099e+01,1.828999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.468872380256652832e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.089999999999999858e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.568001556396484375e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.119000000000000128e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.667161011695861816e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.125000000000000000e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.766211104393005371e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.153999999999999915e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.865311360359191895e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.964410495758056641e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.187000000000000099e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.063548946380615234e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.212000000000000099e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.162708091735839844e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.221999999999999886e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.261821603775024414e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.248000000000000043e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.360889554023742676e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.251000000000000156e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.459983229637145996e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.282999999999999829e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.559077310562133789e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.292999999999999972e+01,1.832000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.658154964447021484e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.314999999999999858e+01,1.835000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.757292318344116211e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.341000000000000014e+01,1.837999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.856426882743835449e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.348000000000000043e+01,1.842000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.955473494529724121e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.380000000000000071e+01,1.855000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.054598379135131836e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.401999999999999957e+01,1.857999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.153680491447448730e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.412000000000000099e+01,1.860999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.252772188186645508e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.444000000000000128e+01,1.864000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.351845121383666992e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.451000000000000156e+01,1.864000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.450942564010620117e+01,5.000000000000000000e+01,0.000000000000000000e+00,2.476999999999999957e+01,1.864000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
